epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8427,1.0065,3.01687,1.24113,0.01062,0.96176,0.36514,0.22437,0.91467,3.05712,1.04326,0.000405983,0.000405983,0.000405983
2,81.0497,1.15841,2.03673,1.32442,0.45195,0.32284,0.41249,0.25092,1.02159,2.39798,1.15421,0.000795502,0.000795502,0.000795502
3,87.9973,1.14114,1.70447,1.29736,0.38622,0.31666,0.31603,0.18005,1.26916,2.74918,1.25413,0.00115752,0.00115752,0.00115752
4,94.9949,1.12511,1.60119,1.27657,0.48788,0.58203,0.52002,0.30526,1.10218,1.81069,1.20867,0.00112625,0.00112625,0.00112625
5,101.943,1.10572,1.54918,1.27063,0.77915,0.40324,0.47751,0.25326,1.30225,2.35471,1.44784,0.001085,0.001085,0.001085
6,108.858,1.05394,1.47417,1.24697,0.54854,0.58563,0.55358,0.35049,1.18358,1.6133,1.25869,0.00104375,0.00104375,0.00104375
7,115.831,1.01565,1.40807,1.21745,0.62809,0.5658,0.62089,0.42178,0.94064,1.95386,1.08125,0.0010025,0.0010025,0.0010025
8,122.786,0.99727,1.33236,1.20938,0.60961,0.65983,0.64083,0.43215,1.04503,1.3781,1.14202,0.00096125,0.00096125,0.00096125
9,129.721,0.96167,1.2669,1.19272,0.61721,0.6514,0.69274,0.45326,1.06413,1.52744,1.13554,0.00092,0.00092,0.00092
10,136.649,0.94479,1.24303,1.19021,0.59197,0.62853,0.63352,0.41064,0.94656,1.56764,1.11898,0.00087875,0.00087875,0.00087875
11,143.611,0.92627,1.18762,1.17187,0.58257,0.6443,0.59971,0.43387,0.87699,1.84055,1.03167,0.0008375,0.0008375,0.0008375
12,150.599,0.90326,1.11559,1.16098,0.68179,0.71758,0.72123,0.50246,0.91093,1.40863,1.08238,0.00079625,0.00079625,0.00079625
13,157.523,0.88946,1.08803,1.15501,0.76087,0.65541,0.75937,0.52119,0.93564,1.09626,1.06549,0.000755,0.000755,0.000755
14,164.461,0.86401,1.07758,1.13942,0.58486,0.69265,0.66697,0.49709,0.84493,1.79171,1.02489,0.00071375,0.00071375,0.00071375
15,171.418,0.85397,1.04369,1.14437,0.76527,0.67041,0.75702,0.5626,0.8056,1.17662,1.0028,0.0006725,0.0006725,0.0006725
16,178.344,0.84344,0.99528,1.14373,0.73156,0.62765,0.69968,0.52642,0.79708,1.67375,0.99696,0.00063125,0.00063125,0.00063125
17,185.321,0.82937,0.9636,1.13259,0.73615,0.72989,0.76126,0.53526,0.85898,1.14312,1.05083,0.00059,0.00059,0.00059
18,192.253,0.80217,0.94195,1.11596,0.75262,0.71042,0.77567,0.58627,0.82856,0.98594,1.06806,0.00054875,0.00054875,0.00054875
19,199.191,0.77939,0.90032,1.11384,0.78775,0.74043,0.80196,0.62047,0.77158,0.94154,1.01363,0.0005075,0.0005075,0.0005075
20,206.115,0.78072,0.9009,1.10988,0.80484,0.7812,0.83218,0.63189,0.76578,0.88549,0.99453,0.00046625,0.00046625,0.00046625
21,264.688,0.54257,0.65136,0.9503,0.73421,0.75211,0.80636,0.5988,0.81901,0.95812,1.02834,0.000425,0.000425,0.000425
22,272.223,0.53655,0.59837,0.94849,0.87001,0.68954,0.85255,0.64905,0.73872,0.86571,0.97033,0.00038375,0.00038375,0.00038375
23,279.141,0.49426,0.51969,0.92669,0.73834,0.77462,0.8278,0.64586,0.67471,1.05261,0.95156,0.0003425,0.0003425,0.0003425
24,286.09,0.46957,0.51071,0.92126,0.86595,0.72685,0.85246,0.6769,0.67084,0.79239,0.95972,0.00030125,0.00030125,0.00030125
25,293.012,0.46676,0.45345,0.91885,0.7808,0.7959,0.84829,0.64314,0.7242,0.93293,0.99076,0.00026,0.00026,0.00026
26,299.937,0.44419,0.45214,0.90377,0.74816,0.75996,0.81368,0.61618,0.70404,1.15967,0.9574,0.00021875,0.00021875,0.00021875
27,306.935,0.40961,0.42339,0.88867,0.79606,0.81414,0.86576,0.67387,0.7016,0.81102,0.96705,0.0001775,0.0001775,0.0001775
28,313.839,0.39655,0.39249,0.88373,0.84722,0.72795,0.82999,0.67421,0.63099,0.85625,0.92376,0.00013625,0.00013625,0.00013625
29,320.779,0.38738,0.39184,0.88062,0.78391,0.82578,0.87326,0.72147,0.63117,0.78635,0.94779,9.5e-05,9.5e-05,9.5e-05
30,327.744,0.37783,0.3683,0.88622,0.78327,0.833,0.86394,0.70412,0.63193,0.83886,0.93998,5.375e-05,5.375e-05,5.375e-05
